id,PSNR_orig,PSNR_fast,PSNR_rl,SSIM_orig,SSIM_fast,SSIM_rl,LPIPS_orig,LPIPS_fast,LPIPS_rl,CLIP_orig,CLIP_fast,CLIP_rl
187d107fc17d4fe51ac8c9ce4ad9fdcb1b96997c,,7.251799,9.153107,,0.3927815788768674,0.4570299614422395,,0.7755458950996399,0.6264527440071106,0.3408203125,0.29052734375,0.309814453125
1884a3e258b18839ffa495269710a61345ae674d,,12.886837,14.046936,,0.5309043909385907,0.5975256792032665,,0.717573344707489,0.5583077073097229,0.35009765625,0.353271484375,0.3466796875
18bc2ef8d168385dc073496dad10123581fc52a0,,13.223268,15.675537,,0.5742959198482059,0.6723869897876088,,0.6468948125839233,0.504220724105835,0.336669921875,0.34033203125,0.325927734375
192d371693188819931d4b6ea17ad44fe8a2c8d2,,9.992295,13.767391,,0.5086785440444529,0.6353003592992552,,0.6795963048934937,0.51382976770401,0.34765625,0.34912109375,0.352294921875
196fbf0a69a8460fc7bc57d5b05c8aaaa97d4a02,,9.356211,10.528518,,0.448116239182525,0.5216742017045809,,0.6867928504943848,0.6207183599472046,0.31982421875,0.33251953125,0.307373046875
19712eab6e0dbbcbcb9b55bbc217df31abdf0b54,,12.137872,14.388938,,0.4924400103175499,0.6245335312506746,,0.7426583766937256,0.5766474604606628,0.293212890625,0.305419921875,0.295166015625
198ddefcf0f65b1def4fd81b4f39fc813d8ec95c,,9.907711,10.342659,,0.5725269321296881,0.5851263654069424,,0.7055850028991699,0.6892316341400146,0.339111328125,0.3095703125,0.297119140625
199ea427154587bab85fcd4fdee4f3ce3eb4eb41,,14.240183,14.759136,,0.5837571594883495,0.6076993875082728,,0.6485844254493713,0.5378800630569458,0.364990234375,0.3359375,0.406005859375
1a103cfcb6072d84257cecf9816956534f3282ad,,14.294937,15.876561,,0.5595491657128858,0.6996530408321767,,0.5958498120307922,0.5222403407096863,0.3447265625,0.328857421875,0.35400390625
1a4eb96580489dbee758c5155ff4e6baa7827f58,,11.732377,12.342354,,0.5775798900732001,0.6160410285399235,,0.6243122816085815,0.597795844078064,0.387939453125,0.380859375,0.38330078125
1b028f57326edf88a474ed31b47b2b527b035617,,12.735528,11.457546,,0.6020038206574446,0.557638942560677,,0.6128617525100708,0.6333134174346924,0.32421875,0.31787109375,0.3115234375
1b29b3e02da74f6b5aa5b08733d2370b11b1ab7e,,10.173347,11.662527,,0.4982488477079177,0.543426472872998,,0.7472951412200928,0.6195911169052124,0.283935546875,0.278076171875,0.3212890625
1c0df912e8ea6a62bd2318f6c2bc063a78508d5c,,11.851688,12.482051,,0.5487705962658754,0.6002981933540107,,0.6621758937835693,0.6411408185958862,0.3818359375,0.37890625,0.367919921875
1c212471d8ec4aeec7e8e616cc6d9f7048b92350,,11.638141,11.57343,,0.6093383496537758,0.6619624338880973,,0.6925345063209534,0.5901778936386108,0.32177734375,0.31884765625,0.32080078125
1c418c03b44b4b29239bb22bad2c1f8fda7436b1,,12.707562,11.388132,,0.579636590967642,0.5406660258977597,,0.602759599685669,0.7126027345657349,0.326416015625,0.343505859375,0.33056640625
1c53eed315ac8b669c67f7a861a4518265578625,,10.489712,13.3053255,,0.5569661917005293,0.6785991841720472,,0.7437360286712646,0.5412828922271729,0.342041015625,0.34130859375,0.321044921875
1c8065abc6cbcaa4a898382f45384fb5877cffe7,,10.088042,13.809103,,0.5395101356841168,0.6968664684964704,,0.5662767291069031,0.4549386501312256,0.323486328125,0.3291015625,0.371826171875
1ce6e86d2a9637004f7c888f3b8eddb5688f9b47,,11.402464,15.048017,,0.5033640425788163,0.6365763269234446,,0.71839839220047,0.47948020696640015,0.280029296875,0.304931640625,0.278076171875
1d0d5ec9c713873adc83fd9a3b944803728fc0f4,,10.702563,13.016191,,0.3313512194692439,0.49926822764818785,,0.7516512870788574,0.5964657068252563,0.336669921875,0.353271484375,0.360107421875
1d4eea7131fdef7d27755a819799e6aa86d24eab,,10.413194,12.748647,,0.43377009393883226,0.5206413508874723,,0.7333225011825562,0.6458264589309692,0.333251953125,0.2802734375,0.322509765625
1d7330d00fe9321b0ced65a10a218237d205de5d,,10.755852,14.089577,,0.42849399905705693,0.5654938503547106,,0.7468698024749756,0.5481739044189453,0.2822265625,0.30029296875,0.281005859375
1d7425378cbe029537e1ec4b78fb4dfacc39e217,,12.754674,13.980886,,0.4430580775536086,0.5714998013976972,,0.7652158737182617,0.655674934387207,0.301513671875,0.193115234375,0.276123046875
1d8b3ed10e56103273218c328db5e9b431092a11,,11.519767,15.061695,,0.4940774186388662,0.5902109158943897,,0.6748169660568237,0.5075458288192749,0.300537109375,0.29150390625,0.305908203125
1d9564224549ec62901d6079f4a8a5a906e6868b,,11.485086,13.120472,,0.6010933080809501,0.7060705210613736,,0.55348801612854,0.5532785058021545,0.300537109375,0.27392578125,0.28857421875
1dc97dbc24e1dbae00706388289945bd929526cd,,10.066717,12.015091,,0.4275966323303701,0.5266768865264709,,0.683944582939148,0.5542605519294739,0.34716796875,0.32373046875,0.373779296875
1de3120f5aaf9c9baf75b09e395e6a1255cfd969,,12.864919,14.447894,,0.4966412962058584,0.5317201714217036,,0.6461798548698425,0.5946981310844421,0.281982421875,0.292236328125,0.3115234375
1df5793b5155179f70fa2cd86585202f39fe8f4f,,11.490394,12.153363,,0.34379141947680275,0.40116662166834155,,0.6517528295516968,0.5256862640380859,0.304443359375,0.2607421875,0.27490234375
1e1c5e9be1c573dc3678b394d7f4e8ee27cd29a4,,11.39057,11.101145,,0.5037550077191216,0.5793368260701078,,0.6913857460021973,0.613719642162323,0.296142578125,0.365478515625,0.296875
1e8faf6f1480fe843a6aa1ae2c95948309379239,,13.455948,14.322009,,0.5858246095431147,0.6225830150871784,,0.623037576675415,0.5678730607032776,0.330810546875,0.33642578125,0.328369140625
1e9d6182bde61167c09f3c29c4443622dc843cc1,,10.820473,11.593795,,0.33426805654514175,0.39287858624905586,,0.632107138633728,0.6123191118240356,0.288330078125,0.311767578125,0.3232421875
1eb1c7a7c1b03aecf06b60dfebc2841169d0e208,,10.050856,12.540094,,0.42057236026808775,0.518538825180202,,0.7103400230407715,0.5978984832763672,0.370361328125,0.352294921875,0.3603515625
1f5367a3c856da24f53020e1d17254b57c0c0956,,12.662373,15.316573,,0.6253205484088277,0.699960382684986,,0.6021861433982849,0.42605048418045044,0.324462890625,0.346923828125,0.330322265625
1f990bb78201544b7cfabafe7a602d96ae3ebec6,,11.277932,11.805869,,0.5232796037022268,0.5630071829271399,,0.7638570666313171,0.7053841352462769,0.287353515625,0.290771484375,0.283447265625
