id,PSNR,SSIM,LPIPS,CLIP
095af2c2ed3927d532e0acfb363ef9223bfbfdb8,20.768557,0.7593282053567655,0.14230823516845703,0.282470703125
096d1d6b7b6a9ddbc7207795f793d80efc7c0569,23.173944,0.8130600761928931,0.10679478943347931,0.33154296875
099fd2da5aa25f4515320b0b6391eec98f5d81b7,25.24239,0.8807036281897404,0.09223227202892303,0.349853515625
09daa7a8b2f4f63fdb8e7ef81b32e7da21ac6f25,20.968082,0.7226930822684664,0.1511390656232834,0.289794921875
0a8e659015ee8800e062bcf4815ff0060a3348c9,20.790403,0.7525030411062268,0.17184779047966003,0.3017578125
0ad39ae49da565eb9c27d7ce6e1cf6049e5e73e0,25.210608,0.8540249324568802,0.10329462587833405,0.286376953125
0b52e5116935fa7826d83f62cea4f39de98753ca,24.655455,0.7897879437490314,0.13711892068386078,0.37255859375
0b5c7f8a15f4eefc34e13226ef3e2ec31bfb7398,21.89512,0.8041163895349003,0.15064331889152527,0.2401123046875
0b838cabc2b733ce7293464e6169e169bdc916c5,23.904552,0.7886672832169781,0.16058257222175598,0.333984375
0b97a481ac295f07a7929dd3e48efe41b6802b17,22.5605,0.7844442947391812,0.1352599859237671,0.277587890625
0bd4f279d88f41665133fe7807eed98c8b2bcee5,24.719889,0.6845317623445647,0.19326552748680115,0.326904296875
0c5a5412dff5ae4ab944bcc742a737a9d3e8904e,22.469448,0.7733752784160162,0.18437178432941437,0.302734375
0df0edd003091ba53dd311d1b5b29ec07b911b0f,20.977505,0.6264611057444239,0.1965342015028,0.275146484375
0f1fce02fb7c68cbafa6560c1a5cf598b859c1ab,24.657063,0.8454645705654208,0.14459314942359924,0.32177734375
0f49e2876229d22cb6c393ce3dfe7b5c3927fdc0,23.904396,0.6688616874361625,0.1640472412109375,0.215087890625
0f60d4cfc3a8813680e4e2050d20f9eda157a75c,26.885004,0.9046334348990085,0.0712181031703949,0.29443359375
